review_id,platform,rating,review_text,sentiment_label,themes
R001,Google,5.0,"Absolutely loved our stay! The owners are so warm and welcoming, the room was spotless. Will be back every summer!",Positive,"cleanliness,staff,repeat_visit"
R002,Google,5.0,Best motel in the area hands down. Walking distance to shops and the waterfront. Super clean rooms.,Positive,"location,cleanliness"
R003,Google,5.0,We book every year for the big summer festival week. The staff hold our room and we feel like family. Don't miss festival week!,Positive,"annual_festival,staff,repeat_visit"
R004,TripAdvisor,5.0,"Spotlessly clean, everything you need. Fridge, microwave and coffee maker. Owners go above and beyond.",Positive,"cleanliness,amenities,staff"
R005,TripAdvisor,5.0,4th year staying here. New owners are amazing. Rooms are immaculate. Book early for summer especially festival week.,Positive,"repeat_visit,cleanliness,annual_festival"
R006,Booking.com,8.0,Great location close to everything. Room was clean. Good value for the area.,Positive,"location,cleanliness,value"
R007,Google,5.0,The tea tray when we arrived was such a nice touch. Incredibly clean. Owners really care about guests.,Positive,"staff,cleanliness,amenities"
R008,Google,5.0,Stayed 3 times now. Always clean and organized. Owner is so friendly and helpful.,Positive,"repeat_visit,cleanliness,staff"
R009,TripAdvisor,4.0,"Good motel, clean rooms, nice location. TV setup was a bit confusing but staff fixed it quickly.",Positive,"cleanliness,location,minor_issue"
R010,Booking.com,9.0,Excellent location. Staff outstanding. Room perfectly prepared. Highly recommend.,Positive,"location,staff,cleanliness"
R011,TripAdvisor,2.0,Paid more than expected for the room. Room was small and not well prepared. Heater was set too high when we arrived. TV barely worked. Would not return.,Negative,"pricing_gap,cleanliness,maintenance,tv_issue"
R012,Google,5.0,Cutest little motel. Owners clearly care deeply. Close to restaurants and waterfront. Perfect for a lakeside getaway.,Positive,"staff,location,value"
R013,Booking.com,8.5,"Clean, comfortable and affordable. Great spot. Beds are really comfortable.",Positive,"cleanliness,value,amenities"
R014,Google,4.0,Nice stay. Location is perfect. Room was small but very clean and had everything needed.,Positive,"location,cleanliness,room_size"
R015,TripAdvisor,5.0,"Best stay we've had in years. Everything was perfect — cleanliness, comfort, service. Booked again for next summer.",Positive,"cleanliness,staff,repeat_visit"
R016,Hotels.com,4.0,Room was clean and well located. No ice machine and no closet which was a bit inconvenient.,Neutral,"cleanliness,location,minor_issue"
R017,Google,5.0,Stayed for festival week. Booked 6 months in advance. So worth it. Staff are lovely.,Positive,"annual_festival,staff"
R018,Booking.com,7.0,Basic but clean and well priced. Staff very helpful. Would stay again.,Positive,"cleanliness,value,staff"
R019,Google,5.0,My favourite motel in the region. The owners make it feel like home. Spotless every single time.,Positive,"staff,cleanliness,repeat_visit"
R020,TripAdvisor,3.0,Room was dated and wifi didn't work. Staff did let me back in after checkout when I forgot something which was nice.,Neutral,"maintenance,wifi,staff"
R021,Booking.com,9.5,Outstanding cleanliness. The owners really go above and beyond. Perfect for exploring the town.,Positive,"cleanliness,staff,location"
R022,Google,5.0,We always stay here when visiting the area. Since new owners took over it's been a gem. Organized to perfection.,Positive,"repeat_visit,cleanliness,staff"
R023,TripAdvisor,5.0,Arrived and room was perfectly prepared. Two sinks which was great. Tea and coffee ready. Beds so comfortable.,Positive,"cleanliness,amenities,comfort"
R024,Google,5.0,Wonderful owners and great location. Everything walking distance. Rooms very clean and updated.,Positive,"staff,location,cleanliness"
R025,Booking.com,6.5,Reserved a queen room but was put in a different room when we arrived. Was told the original room was unavailable which was unprofessional.,Negative,"booking_error,staff_issue"
R026,Google,5.0,Close to everything in town. Reasonably priced. Owners extremely friendly. Will return.,Positive,"location,value,staff"
R027,TripAdvisor,5.0,"Everything was perfect. Fridge, microwave, coffee maker. Room organized as efficiently as possible. Staff are fantastic.",Positive,"amenities,cleanliness,staff"
R028,Google,5.0,Stayed for the annual summer festival. Book well in advance! Owners are delightful.,Positive,"annual_festival,staff"
R029,Booking.com,8.0,Very clean and quiet. Comfortable beds. Good parking. Short walk to the town square.,Positive,"cleanliness,comfort,location"
R030,Google,4.0,Clean affordable motel. Good location. Parking is easy. Not luxury but great value.,Positive,"cleanliness,value,location"
